Protein ID	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT...49	MT...50	MT...51	MT...52	MT...53
Q8JZZ7	2859.4104	2829.0054	4400.9209	3414.8088	3370.9651	2376.3718	3883.5256	2997.0901	4609.2202	1814.625	3599.876	0	0	0	0	0
Q8K009	46958.8735	22913.0879	57283.3779	31251.4888	64719.4864	32252.0254	48010.1973	26565.176799999997	43648.2861	22260.879	39036.1117	499.4237	1514.9863	0	0	0
Q8K010	184380.805	116570.874	245198.1576	178336.1394	127131.1204	99377.3483	176784.78650000002	138502.7802	170650.7275	93108.2696	138466.1751	0	934.4375	0	0	0
Q8K012	58238.4361	41683.110400000005	69768.4218	53143.4799	52719.2275	39857.3824	56688.1977	45268.4648	54528.7003	34593.0881	40196.6461	475.0805	1238.9688	0	0	0
Q8K019	51758.6377	42019.3772	65646.3057	43796.187900000004	50836.9515	51303.9415	49990.2482	38938.0614	52205.3111	36408.8347	43563.9196	588.722	662.8	0	0	0
Q8K021	6142.8398	4368.0669	7488.7593	5093.0879	5642.5107	5245.9111	5981.1382	4675.4126	7039.0767	3380.0571	5633.6016	0	0	0	0	0
Q8K023	20198.760199999997	11792.8173	18703.9746	19718.2685	7355.0532	9600.1643	12312.9191	12595.8174	14565.3042	10572.135	9073.3728	330.1501	0	0	0	0
Q8K094	4573.6099	4154.3511	6695.3354	4863.313	4348.2476	5938.5171	4630.1572	4696.6851	4892.6353	4577.3306	4265.9321	413.5773	0	0	0	0
Q8K0B2	2437.4072	1987.0833	2971.5796	2489.7207	2159.8928	2701.26	2647.7981	2031.9932	2130.9075	1318.991	2314.2888	0	0	0	0	0
Q8K0C4	38403.7879	17879.953700000002	55217.8805	37567.8724	19586.7912	14794.6564	39855.7699	22777.9465	40430.141	15791.4278	29863.3367	0	0	0	0	0
